UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LOCALIDAD;CONSUMO_KW;POTENCIA_CONTRATADA;MONTO_SOLES
150606;LIMA;HUARAL;IHUARI;ÑAUPAY;0;1;6.2
150606;LIMA;HUARAL;IHUARI;QUISPIHUAY;35;1;30.5
150606;LIMA;HUARAL;IHUARI;YUNGUY;53;1;68.1
150606;LIMA;HUARAL;IHUARI;YUNGUY;32;1;27.8
150606;LIMA;HUARAL;IHUARI;YUNGUY;1;1;13.2
150606;LIMA;HUARAL;IHUARI;MATARA;1;1;6.5
150606;LIMA;HUARAL;IHUARI;VILCAS;21;1;14.9
150810;LIMA;HUAURA;SANTA MARIA;SANTA MARIA;0;3;6.3
150810;LIMA;HUAURA;SANTA MARIA;SANTA MARIA;0;3;6.2
150810;LIMA;HUAURA;SANTA MARIA;SANTA MARIA;55;3;67
40807;AREQUIPA;LA UNION;QUECHUALLA;PICHA;10.77;85;312.1
40402;AREQUIPA;CASTILLA;ANDAGUA;PACCARETA;10.77;85;179.8
40402;AREQUIPA;CASTILLA;ANDAGUA;SAN ANTONIO;10.77;85;217
40507;AREQUIPA;CAYLLOMA;HUAMBO;MATADERO;10.77;85;508.2
40507;AREQUIPA;CAYLLOMA;HUAMBO;YANACOTO;10.77;85;228.8
40312;AREQUIPA;CARAVELI;QUICACHA;DURASNILLO;10.77;85;541.2
40207;AREQUIPA;CAMANA;QUILCA;EL TUNEL;10.36;85;479.6
40124;AREQUIPA;AREQUIPA;UCHUMAYO;LA NUEVA MOLINA;10.77;85;346.8
40124;AREQUIPA;AREQUIPA;UCHUMAYO;LA NUEVA MOLINA;10.77;85;613
40124;AREQUIPA;AREQUIPA;UCHUMAYO;LA NUEVA MOLINA;10.77;85;351.9
40608;AREQUIPA;CONDESUYOS;YANAQUIHUA;CHARCO CHOCCHA;10.77;85;155.5
40806;AREQUIPA;LA UNION;PUYCA;CCENCHO;10.77;85;421.4
40806;AREQUIPA;LA UNION;PUYCA;CCENCHO;10.77;85;624.1
60312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;SIETE DE JUNIO;10.77;85;308.6
60310;CAJAMARCA;CELENDIN;SUCRE;LAGUNA;10.77;85;263.2
60302;CAJAMARCA;CELENDIN;CHUMUCH;NUEVA BELLA AURORA;10.77;85;583.3
60307;CAJAMARCA;CELENDIN;MIGUEL IGLESIAS;VILLA HERMOSA;10.77;85;494.5
60312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;LA LAGUNA RAMOSCUCHO;10.77;85;398
60312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;NUEVO EDEN;10.77;85;411.6
60307;CAJAMARCA;CELENDIN;MIGUEL IGLESIAS;MUYOC CHICO;10.77;85;308.6
60301;CAJAMARCA;CELENDIN;CELENDIN;SANTA ROSA;10.77;120;240
60312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;LA LAGUNA RAMOSCUCHO;10.77;85;623.3
60312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;UNION DEL NORTE;10.77;85;623.3
60312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;SAN JUAN;10.77;85;381
60312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;CHUPICA;10.77;85;623.3
60312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;SANCHAN;10.77;85;623.3
