UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,LOCALIDAD,CONSUMO_KW,POTENCIA_CONTRATADA,MONTO_SOLES,Latitud,Longitud
40309,AREQUIPA,CARAVELI,HUANUHUANU,EL POZO,55.0,1.0,49.6,-15.7403,-73.5436
40309,AREQUIPA,CARAVELI,HUANUHUANU,MOLLEHUACA,142.0,1.0,160.9,-15.7667,-73.5833
40309,AREQUIPA,CARAVELI,HUANUHUANU,MOLLEHUACA,11.0,1.0,10.4,-15.7667,-73.5833
50619,AYACUCHO,LUCANAS,SANCOS,SANTA FILOMENA (SAN LUIS),18.0,1.0,13.1,-14.3679,-74.2517
50619,AYACUCHO,LUCANAS,SANCOS,SANTA FILOMENA (SAN LUIS),2.0,1.0,6.9,-14.3679,-74.2517
50619,AYACUCHO,LUCANAS,SANCOS,SANTA FILOMENA (SAN LUIS),12.0,1.0,16.8,-14.3679,-74.2517
50619,AYACUCHO,LUCANAS,SANCOS,SANTA FILOMENA (SAN LUIS),6.0,1.0,8.5,-14.3679,-74.2517
50619,AYACUCHO,LUCANAS,SANCOS,SANTA FILOMENA (SAN LUIS),6.0,1.0,8.5,-14.3679,-74.2517
50619,AYACUCHO,LUCANAS,SANCOS,SANTA FILOMENA (SAN LUIS),2.0,1.0,6.9,-14.3679,-74.2517
50619,AYACUCHO,LUCANAS,SANCOS,SANTA FILOMENA (SAN LUIS),10.0,1.0,10.8,-14.3679,-74.2517
50619,AYACUCHO,LUCANAS,SANCOS,SANTA FILOMENA (SAN LUIS),42.0,1.0,37.3,-14.3679,-74.2517
50619,AYACUCHO,LUCANAS,SANCOS,SANTA FILOMENA (SAN LUIS),29.0,1.0,17.4,-14.3679,-74.2517
50619,AYACUCHO,LUCANAS,SANCOS,SANCOS,93.0,5.0,263.7,-14.3757,-74.2518
50619,AYACUCHO,LUCANAS,SANCOS,HUAC HUACA,2.0,1.0,6.9,-14.3724,-74.2420
50619,AYACUCHO,LUCANAS,SANCOS,HUAC HUACA,2.0,1.0,6.9,-14.3724,-74.2420
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,0.0,1.0,12.4,-14.3637,-74.2392
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,76.0,1.0,69.8,-14.3637,-74.2392
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,0.0,1.0,55.2,-14.3637,-74.2392
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,7.0,1.0,8.9,-14.3637,-74.2392
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,0.0,1.0,6.2,-14.3637,-74.2392
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,28.0,1.0,17.1,-14.3637,-74.2392
50619,AYACUCHO,LUCANAS,SANCOS,SANCOS,58.0,5.0,171.2,-14.3757,-74.2518
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,58.0,1.0,82.1,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,PULLO,69.0,1.0,137.9,-14.1840,-74.2462
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,87.0,1.0,80.5,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,21.0,1.0,262.4,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,PULLO,139.0,1.0,137.6,-14.1840,-74.2462
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,82.0,1.0,178.3,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,58.0,1.0,52.7,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,162.0,1.0,413.9,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,92.0,1.0,170.0,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,378.0,1.0,425.9,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,108.0,1.0,106.9,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,27.0,1.0,16.7,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,53.0,1.0,78.5,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,PULLO,29.0,1.0,33.8,-14.1840,-74.2462
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,38.0,1.0,57.0,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,12.0,1.0,10.8,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,69.0,1.0,63.3,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,68.0,1.0,62.0,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,67.0,1.0,206.8,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,50.0,1.0,106.8,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,64.0,1.0,107.7,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,107.0,1.0,523.6,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,PULLO,67.0,1.0,104.7,-14.1840,-74.2462
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,67.0,1.0,61.0,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,162.0,1.0,197.9,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,118.0,1.0,216.6,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,21.0,1.0,14.3,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,1.0,1.0,13.7,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,61.0,1.0,85.5,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,26.0,1.0,16.4,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,84.0,1.0,77.4,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,36.0,1.0,36.1,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,2.0,1.0,6.9,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,111.0,1.0,109.8,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,44.0,1.0,39.2,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,44.0,1.0,69.0,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,RELAVE,57.0,1.0,51.5,-14.1857,-74.2742
50705,AYACUCHO,PARINACOCHAS,PULLO,CARRIZAL,68.0,1.0,61.9,-14.1972,-74.2733
50705,AYACUCHO,PARINACOCHAS,PULLO,PUEBLO NUEVO DE HUILLCALLAMA,0.0,1.0,6.2,-13.9401,-74.3523
50705,AYACUCHO,PARINACOCHAS,PULLO,PUEBLO NUEVO DE HUILLCALLAMA,9.0,1.0,9.6,-13.9401,-74.3523
50705,AYACUCHO,PARINACOCHAS,PULLO,PUEBLO NUEVO DE HUILLCALLAMA,53.0,1.0,47.7,-13.9401,-74.3523
50705,AYACUCHO,PARINACOCHAS,PULLO,MALCO,1.0,1.0,6.5,-13.9401,-74.3523
50705,AYACUCHO,PARINACOCHAS,PULLO,PULLO,11.0,5.0,39.0,-13.9401,-74.3523
50705,AYACUCHO,PARINACOCHAS,PULLO,CHAIPI,0.0,1.0,6.2,-13.9401,-74.3523
50705,AYACUCHO,PARINACOCHAS,PULLO,CHAIPI,0.0,1.0,6.2,-13.9401,-74.3523
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,1.0,1.0,12.8,-13.7341,-74.0813
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,17.0,1.0,12.8,-13.7341,-74.0813
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,0.0,1.0,12.5,-13.7341,-74.0813
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,42.0,1.0,37.4,-13.7341,-74.0813
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,44.0,1.0,39.1,-13.7341,-74.0813
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,0.0,1.0,18.7,-13.7341,-74.0813
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,0.0,1.0,12.5,-13.7341,-74.0813
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,99.0,1.0,91.9,-13.7341,-74.0813
50619,AYACUCHO,LUCANAS,SANCOS,SAN LUIS ALTA,4.0,1.0,7.8,-13.7341,-74.0813
40308,AREQUIPA,CARAVELI,CHAPARRA,LA ESPAÑOLITA,0.0,1.0,18.8,-15.8797,-74.4763
40308,AREQUIPA,CARAVELI,CHAPARRA,LA ESPAÑOLITA,57.0,1.0,115.7,-15.8797,-74.4763
40308,AREQUIPA,CARAVELI,CHAPARRA,LA ESPAÑOLITA,43.0,1.0,71.2,-15.8797,-74.4763
40308,AREQUIPA,CARAVELI,CHAPARRA,LA ESPAÑOLITA,4.0,1.0,6.9,-15.8797,-74.4763
40308,AREQUIPA,CARAVELI,CHAPARRA,LA ESPAÑOLITA,171.0,1.0,506.2,-15.8797,-74.4763
40308,AREQUIPA,CARAVELI,CHAPARRA,LA ESPAÑOLITA,33.0,1.0,54.1,-15.8797,-74.4763
40308,AREQUIPA,CARAVELI,CHAPARRA,LA ESPAÑOLITA,33.0,1.0,53.5,-15.8797,-74.4763
60812,CAJAMARCA,JAEN,SANTA ROSA,TIPUCO,6.46,50.0,12.9,-6.5124,-78.3501
60812,CAJAMARCA,JAEN,SANTA ROSA,AGUA TURBIA,6.46,50.0,12.8,-6.5124,-78.3501
60812,CAJAMARCA,JAEN,SANTA ROSA,GRANADILLAS,6.46,50.0,12.8,-6.5124,-78.3501
60901,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,ALTO BOLOGNESI,6.46,50.0,183.4,-6.7193,-78.4231
60812,CAJAMARCA,JAEN,SANTA ROSA,EL PALMAL,8.63,120.0,70.4,-6.5124,-78.3501
60811,CAJAMARCA,JAEN,SAN JOSE DEL ALTO,NUEVO PARAISO,6.46,50.0,22.9,-6.6151,-78.4175
60905,CAJAMARCA,SAN IGNACIO,NAMBALLE,PUEBLO LIBRE,6.46,50.0,196.8,-6.6174,-78.4742
60901,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,TUPAC AMARU,6.46,50.0,611.2,-6.7193,-78.4231
60811,CAJAMARCA,JAEN,SAN JOSE DEL ALTO,LA TUNA,6.46,50.0,196.2,-6.6151,-78.4175
60811,CAJAMARCA,JAEN,SAN JOSE DEL ALTO,SAN LORENZO,6.46,50.0,33.1,-6.6151,-78.4175
60812,CAJAMARCA,JAEN,SANTA ROSA,LA PRIMAVERA,6.46,50.0,11.4,-6.5124,-78.3501
60812,CAJAMARCA,JAEN,SANTA ROSA,TIPUCO,6.46,50.0,11.4,-6.5124,-78.3501
60812,CAJAMARCA,JAEN,SANTA ROSA,SAN ANTONIO,6.46,50.0,13.0,-6.5124,-78.3501
60812,CAJAMARCA,JAEN,SANTA ROSA,SAN JUAN DE LAZOS,6.46,50.0,12.8,-6.5124,-78.3501
50105,AYACUCHO,HUAMANGA,CHIARA,QUISHUARCANCHA,10.77,85.0,160.1,-13.1585,-74.2227
50105,AYACUCHO,HUAMANGA,CHIARA,QUISHUARCANCHA,10.77,85.0,118.5,-13.1585,-74.2227
60501,CAJAMARCA,CONTUMAZA,CONTUMAZA,CRUZ DE CASCABAMBA,10.77,85.0,49.3,-7.1282,-78.5753
60507,CAJAMARCA,CONTUMAZA,TANTARICA,CHUQUIMANGO,10.77,85.0,155.3,-7.1954,-78.5689
60501,CAJAMARCA,CONTUMAZA,CONTUMAZA,CATUDEN,10.77,85.0,273.3,-7.1282,-78.5753
60502,CAJAMARCA,CONTUMAZA,CHILETE,LA MULLUMA,10.77,85.0,79.0,-7.1282,-78.5753
60507,CAJAMARCA,CONTUMAZA,TANTARICA,CHICOTE,8.06,50.0,9.6,-7.1946,-78.5282
